article singular,noun singular,article plural,noun plural,meaning
Die,Ehre,,,Honor
Die,Sahne,,,Cream
Der,Grund,,,Sake
Das,Opfer,Die,Opfer,Victim
Die,Möglichkeit,Die,Möglichkeiten,Possibility
Der,Kontakt,Die,Kontakte,Contact
Die,Stimmung,Die,Stimmungen,Mood
Der,Daumen,Die,Daumen,Thumb
Das,Lesen,,,Reading
Der,Spaß,,,Fun
Die,Kerze,Die,Kerzen,Candle
Die,Höhle,Die,Höhlen,Cave
Die,Post,,,Post
Das,Gefängnis,Die,Gefängnisse,Prison
Die,Emotion,Die,Emotionen,Emotion
Der,Führer,Die,Führer,Leader
Der,Abschluss,Die,Abschlüsse,Degree
Das,Merkmal,Die,Merkmale,Feature
Die,Eintrittskarte,Die,Eintrittskarten,Ticket
Das,Alien,Die,Aliens,Alien
Die,Lektion,Die,Lektionen,Lesson
Die,Wüste,Die,Wüsten,Desert
Der,Schnitt,Die,Schnitte,Cut
Das,Durcheinander,,,Mess
Die,Warnung,Die,Warnungen,Warning
Das,Märchen,Die,Märchen,Tale
Die,Beerdigung,Die,Beerdigungen,Funeral
Das,Taxi,Die,Taxis,Cab
Der,Reporter,Die,Reporter,Reporter
Das,Geschenk,Die,Geschenke,Present
Das,Theater,Die,Theater,Theater
Die,Länge,,,Length
Der,Schlamm,,,Mud
Die,Wissenschaft,,,Science
Der,Tropfen,Die,Tropfen,Drop
Die,Schnur,Die,Schnüre,String
Die,Rede,Die,Reden,Speech
Das,Exemplar,Die,Exemplare,Copy
Die,Kuh,Die,Kühe,Cow
Der,Arbeiter,Die,Arbeiter,Worker
Der,Oberschenkel,Die,Oberschenkel,Thigh
Das,Labor,Die,Labore,Lab
Die,Rolle,Die,Rollen,Roll
Die,Frucht,Die,Früchte,Fruit
Das,Patch,Die,Patches,Patch
Die,Seide,,,Silk
Der,Dollar,Die,Dollars,Buck
Der,Ziegel,Die,Ziegel,Brick
Das,Gewehr,Die,Gewehre,Rifle
Die,Karriere,Die,Karrieren,Career
Die,Ausgabe,Die,Ausgaben,Issue
Die,Gelegenheit,Die,Gelegenheiten,Opportunity
Der,Regisseur,Die,Regisseure,Director
Das,Monster,Die,Monster,Monster
Das,Fahrzeug,Die,Fahrzeuge,Vehicle
Die,Gasse,Die,Gassen,Alley
Der,Ärmel,Die,Ärmel,Sleeve
Das,Grab,Die,Gräber,Grave
Der,Busch,Die,Büsche,Bush
Das,Esszimmer,,,Dining
Die,Öffnung,Die,Öffnungen,Opening
Das,Zwilling,Die,Zwillinge,Twin
Die,Scheune,Die,Scheunen,Barn
Das,Pfund,Die,Pfunde,Pound
Die,Seite,Die,Seiten,Site
Der,Blitz,Die,Blitze,Flash
Der,Richter,Die,Richter,Judge
Die,Masse,Die,Massen,Mass
Der,Prozess,Die,Prozesse,Process
Die,Krawatte,Die,Krawatten,Tie
Die,Geldbörse,Die,Geldbörsen,Purse
Die,Pfeife,Die,Pfeifen,Pipe
Der,Drache,Die,Drachen,Dragon
Der,Horizont,Die,Horizonte,Horizon
Das,Tablett,Die,Tabletts,Tray
Der,Umschlag,Die,Umschläge,Envelope
Der,Scheck,Die,Schecks,Check
Der,Erwachsene,Die,Erwachsenen,Adult
Der,Notfall,Die,Notfälle,Emergency
Das,Material,Die,Materialien,Material
Die,Kindheit,,,Childhood
Die,Gewohnheit,Die,Gewohnheiten,Habit
Der,Künstler,Die,Künstler,Artist
Die,Adresse,Die,Adressen,Address
Der,Duft,Die,Düfte,Scent
Das,Universum,Die,Universen,Universe
Das,Nicken,,,Nod
Die,Muschel,Die,Muscheln,Shell
Die,Gemeinschaft,Die,Gemeinschaften,Community
Der,Start,Die,Starts,Start
Die,Wunde,Die,Wunden,Wound
Die,Maus,Die,Mäuse,Mouse
Der,Pilot,Die,Piloten,Pilot
Die,Note,Die,Noten,Grade
Das,Video,Die,Videos,Video
Der,Korb,Die,Körbe,Basket
Der,Waggon,Die,Waggons,Wagon
Der,Versuch,Die,Versuche,Attempt
Das,Sofa,Die,Sofas,Sofa
Der,Kuchen,Die,Kuchen,Cake
Der,Kerl,Die,Kerle,Fellow
Die,Angelegenheit,Die,Angelegenheiten,Affair
Die,Küste,Die,Küsten,Shore
Der,General,Die,Generäle,General
Die,Wurzel,Die,Wurzeln,Root
Der,Umhang,Die,Umhänge,Robe
Die,Sorge,Die,Sorgen,Concern
Die,Presse,,,Press
Die,Ratte,Die,Ratten,Rat
Die,Gesellschaft,Die,Gesellschaften,Society
Der,Stil,Die,Stile,Style
Der,Bezirk,Die,Bezirke,County
Der,Befehl,Die,Befehle,Command
Der,Besucher,Die,Besucher,Visitor
Das,Modell,Die,Modelle,Model
Die,Kammer,Die,Kammern,Chamber
Das,Tier,Die,Tiere,Beast
Der,Strauß,Die,Sträuße,Bunch
Der,Hintergrund,Die,Hintergründe,Background
Die,Einheit,Die,Einheiten,Unit
Das,Möbel,Die,Möbel,Furniture
Der,Nagel,Die,Nägel,Nail
Der,Schrei,Die,Schreie,Scream
Das,Eigentum,,,Property
Die,Ausrüstung,,,Equipment
Die,Auffahrt,Die,Auffahrten,Driveway
Der,Griff,Die,Griffe,Grip
Die,Röhre,Die,Röhren,Tube
Die,Asche,Die,Aschen,Ash
Der,Ventilator,Die,Ventilatoren,Fan
Die,Meinung,Die,Meinungen,Opinion
Die,Daten,,,Data
Die,Verbindung,Die,Verbindungen,Connection
Der,Trick,Die,Tricks,Trick
Das,Geheimnis,Die,Geheimnisse,Mystery
Die,Periode,Die,Perioden,Period
Die,Schrift,Die,Schriften,Writing
Der,Horror,,,Horror
Die,Süßigkeiten,,,Candy
Die,Hündin,Die,Hündinnen,Bitch
Die,Gesundheit,,,Health
Der,Manager,Die,Manager,Manager
Die,Sicherheit,,,Safety
Die,Höhe,Die,Höhen,Height
Das,Aussehen,,,Appearance
Der,Seufzer,Die,Seufzer,Sigh
Die,Mine,Die,Minen,Mine
Der,Stoff,Die,Stoffe,Cloth
Die,Reaktion,Die,Reaktionen,Reaction
Die,Quelle,Die,Quellen,Source
Das,Selbst,,,Self
Die,Pistole,Die,Pistolen,Pistol
Der,Flughafen,Die,Flughäfen,Airport
Der,Held,Die,Helden,Hero
Das,Versprechen,Die,Versprechen,Promise
Der,Bogen,Die,Bögen,Bow
Das,Zelt,Die,Zelte,Tent
Der,Stand,Die,Stände,Booth
Das,Bargeld,,,Cash
Die,Allee,Die,Alleen,Avenue
Das,T-Shirt,Die,T-Shirts,TShirt
Der,Teppich,Die,Teppiche,Carpet
Der,Keller,Die,Keller,Basement
Die,Freundin,Die,Freundinnen,Girlfriend
Der,Bart,Die,Bärte,Beard
Die,Augenbraue,Die,Augenbrauen,Brow
Der,Bildschirm,Die,Bildschirme,Display
Das,Signal,Die,Signale,Signal
Der,Diener,Die,Diener,Servant
Das,Flüstern,Die,Flüster,Whisper
Der,Zweifel,Die,Zweifel,Doubt
Das,Konto,Die,Konten,Account
Die,Magie,,,Magic
Der,Klumpen,Die,Klumpen,Hank
Das,Glied,Die,Glieder,Limb
Der,Bastard,Die,Bastarde,Bastard
Der,Schädel,Die,Schädel,Skull
Der,Satz,Die,Sätze,Sentence
Der,Kragen,Die,Kragen,Collar
Das,Horn,Die,Hörner,Horn
Die,Eiche,Die,Eichen,Oak
Der,Knöchel,Die,Knöchel,Ankle
Die,Puppe,Die,Puppen,Doll
Das,Sandwich,Die,Sandwiches,Sandwich
Der,Rotkehlchen,Die,Rotkehlchen,Robin
Die,Gerechtigkeit,,,Justice
Der,Stolz,,,Pride
Die,Jugend,,,Youth
Der,Sekretär,Die,Sekretäre,Secretary
Die,Forschung,,,Research
Der,Sport,Die,Sportarten,Sport
Die,Aufgabe,Die,Aufgaben,Task
Das,Stipendium,Die,Stipendien,Grant
Der,Sheriff,Die,Sheriffs,Sheriff
Die,Mitternacht,,,Midnight
Der,Chip,Die,Chips,Chip
Die,Theorie,Die,Theorien,Theory
Der,Alarm,Die,Alarme,Alarm
Die,Sammlung,Die,Sammlungen,Collection
Das,Kreuz,Die,Kreuze,Cross
Die,Kiefer,Die,Kiefern,Pine
Die,Generation,Die,Generationen,Generation
Die,Autorität,Die,Autoritäten,Authority
Der,Papa,Die,Papas,Papa
Die,Reise,Die,Reisen,Journey
Die,Perle,Die,Perlen,Pearl
Die,Toilette,Die,Toiletten,Toilet
Der,Mörder,Die,Mörder,Killer
Das,Werkzeug,Die,Werkzeuge,Tool
Die,Medizin,Die,Medizinen,Medicine
Der,Zucker,,,Sugar
Die,Prinzessin,Die,Prinzessinnen,Princess
Das,Argument,Die,Argumente,Argument
Die,Klippe,Die,Klippen,Cliff
Der,Wagen,Die,Wagen,Cart
Der,Kristall,Die,Kristalle,Crystal
Die,Bohne,Die,Bohnen,Bean
Der,Käfig,Die,Käfige,Cage
Die,Schokolade,,,Chocolate
Die,Küste,Die,Küsten,Coast
Das,Jahrzehnt,Die,Jahrzehnte,Decade
Die,Bedeutung,Die,Bedeutungen,Meaning
Das,Getriebe,Die,Getriebe,Gear
Der,Koffer,Die,Koffer,Suitcase
Die,Operation,Die,Operationen,Operation
Das,Atmen,,,Breathing
Die,Rolle,Die,Rollen,Role
Die,Version,Die,Versionen,Version
Der,Gefangene,Die,Gefangenen,Prisoner
Das,Spiel,Die,Spiele,Match
Der,Strahl,Die,Strahlen,Beam
Das,Schloss,Die,Schlösser,Castle
Der,Rausch,Die,Räusche,Rush
Die,Fahrspur,Die,Fahrspuren,Lane
Die,Kleidung,,,Clothing
Der,Pfahl,Die,Pfähle,Pole
Die,Freiheit,,,Freedom
Die,Fähigkeit,Die,Fähigkeiten,Skill
Die,Leidenschaft,Die,Leidenschaften,Passion
Die,Aktivität,Die,Aktivitäten,Activity
Der,Fick,Die,Ficks,Fuck
Die,Plattform,Die,Plattformen,Platform
Das,Salz,,,Salt
Das,Fahrrad,Die,Fahrräder,Bike
Der,Stapel,Die,Stapel,Stack
Der,Begleiter,Die,Begleiter,Companion
Das,Schicksal,,,Fate
Die,Wut,Die,Wut,Rage
Die,Versorgung,Die,Versorgungen,Supply
Der,Wal,Die,Wale,Whale
Das,Schwein,Die,Schweine,Pig
Das,Kaninchen,Die,Kaninchen,Rabbit
Der,Gang,Die,Gänge,Aisle
Der,Monitor,Die,Monitore,Monitor
Der,Helm,Die,Helme,Helmet
Der,Respekt,,,Respect
Die,Aufregung,,,Excitement
Die,Lobby,Die,Lobbys,Lobby
Der,Freund,Die,Freunde,Boyfriend
Der,Pelz,Die,Felle,Fur
Die,Bandbreite,Die,Bandbreiten,Range
Der,Schwanz,Die,Schwänze,Dick
Der,Code,Die,Codes,Code
Das,Kapitel,Die,Kapitel,Chapter
Die,Reflexion,Die,Reflexionen,Reflection
Die,Post,Die,Mails,Mail
Die,Fliege,Die,Fliegen,Fly
Der,Schrank,Die,Schränke,Cabinet
Das,Spielzeug,Die,Spielzeuge,Toy
Der,Baseball,Die,Baseballs,Baseball
Das,Innere,,,Inside
Das,Tempo,,,Pace
Der,Griff,Die,Griffe,Handle
Das,Blei,,,Lead
Die,Menge,Die,Mengen,Amount
Der,Nerv,Die,Nerven,Nerve
Der,Terror,,,Terror
Der,Pullover,Die,Pullover,Sweater
Die,Qualität,Die,Qualitäten,Quality
Der,Jäger,Die,Jäger,Hunter
Die,Farbe,Die,Farben,Paint
Der,Zerstörer,Die,Zerstörer,Buster
Die,Baumwolle,,,Cotton
Der,Feldwebel,Die,Feldwebel,Sergeant
Der,Kredit,Die,Kredite,Credit
Der,Schlag,Die,Schläge,Blow
Der,Teufel,Die,Teufel,Devil
Die,Bedrohung,Die,Bedrohungen,Threat
Der,Erfolg,Die,Erfolge,Success
Der,Abend,Die,Abende,Eve
Das,Kabel,Die,Kabel,Cable
Die,Pfanne,Die,Pfannen,Pan
Der,Angestellte,Die,Angestellten,Clerk
Der,Titel,Die,Titel,Title
Der,Meter,Die,Meter,Meter
Die,Schande,,,Shame
Die,Nadel,Die,Nadeln,Needle
Die,Lunge,Die,Lungen,Lung
Der,Krieger,Die,Krieger,Warrior
Die,Umstände,,,Circumstance
Das,Studio,Die,Studios,Studio
Die,Panik,,,Panic
Der,Mangel,,,Lack
Der,Bauer,Die,Bauern,Farmer
Der,Akzent,Die,Akzente,Accent
Die,Bombe,Die,Bomben,Bomb
Das,Panel,Die,Panels,Panel
Die,Fähigkeit,Die,Fähigkeiten,Ability
Das,Glück,,,Fortune
Der,Sieger,Die,Sieger,Victor
Die,Feder,Die,Federn,Feather
Die,Oma,Die,Omas,Grandma
Das,Leuchten,Die,Leuchten,Glow
Das,Verhalten,,,Behavior
Der,Durchgang,Die,Durchgänge,Passage
Der,Sklave,Die,Sklaven,Slave
Der,Leutnant,Die,Leutnants,Lieutenant
Das,Fass,Die,Fässer,Barrel
Die,Wärme,,,Warmth
Der,Eindruck,Die,Eindrücke,Impression
Der,Maurer,Die,Maurer,Mason
Die,Braut,Die,Bräute,Bride
Das,Paket,Die,Pakete,Package
Der,Nebel,,,Fog
Das,Gehen,,,Walking
Das,Gleichgewicht,,,Balance
Die,Socke,Die,Socken,Sock
Der,Roboter,Die,Roboter,Robot
Die,Kartoffel,Die,Kartoffeln,Potato
Der,Gegenstand,Die,Gegenstände,Item
Das,Bad,Die,Bäder,Bath
Der,Diamant,Die,Diamanten,Diamond
Die,Leiche,Die,Leichen,Corpse
Die,Erklärung,Die,Erklärungen,Explanation
Die,Struktur,Die,Strukturen,Structure
Der,Ausgang,Die,Ausgänge,Exit
Das,Kissen,Die,Kissen,Pad
Der,Herd,Die,Herde,Stove
Das,Blau,,,Blue
Der,Amerikaner,Die,Amerikaner,American
Der,Rubin,Die,Rubine,Ruby
Das,Blitz,Die,Blitze,Lightning
Die,Grube,Die,Gruben,Pit
Der,Oberst,Die,Obersten,Colonel
Der,Hafen,Die,Häfen,Dock
Der,Bach,Die,Bäche,Creek
Der,Rat,Die,Ratschläge,Advice
Der,Tourist,Die,Touristen,Tourist
Die,Trauer,,,Grief
Die,Verteidigung,,,Defense
Der,Biss,Die,Bisse,Bite
Das,Museum,Die,Museen,Museum
Der,Gefallen,Die,Gefallen,Favor
Das,Abendessen,,,Supper
Der,Komfort,,,Comfort
Der,Dekan,,,Dean
Der,Wert,Die,Werte,Value
Der,Marsch,Die,Märsche,March
Das,Anwesen,Die,Anwesen,Estate
Der,Dichter,Die,Dichter,Poet
Der,Palast,Die,Paläste,Palace
Die,Suppe,Die,Suppen,Soup
Die,Nation,Die,Nationen,Nation
Das,Glas,Die,Gläser,Jar
Der,Stand,,,Standing
Der,Sack,Die,Säcke,Sack
Der,Dämon,Die,Dämonen,Demon
Die,Konferenz,Die,Konferenzen,Conference
Der,Saft,Die,Säfte,Juice
Die,Verantwortung,,,Responsibility
Die,Bürste,Die,Bürsten,Brush
Die,Route,Die,Routen,Route
Der,Käse,Die,Käse,Cheese
Die,Motorhaube,Die,Motorhauben,Hood
Die,Ente,Die,Enten,Duck
Der,Heilige,Die,Heiligen,Saint
Der,Pass,Die,Pässe,Pass
Das,Ziel,Die,Ziele,Target
Die,Orange,Die,Orangen,Orange
Die,Kultur,Die,Kulturen,Culture
Die,Tour,Die,Touren,Tour
Der,Kommandant,Die,Kommandanten,Commander
Der,Haken,Die,Haken,Hook
Der,Nebel,,,Mist
Das,Training,Die,Trainings,Training
Die,Suche,Die,Suchen,Search
Die,Münze,Die,Münzen,Coin
Das,Wunder,Die,Wunder,Miracle
Der,Vorteil,Die,Vorteile,Advantage
Der,Austausch,Die,Austausche,Exchange
Die,Fiktion,,,Fiction
Der,Teich,Die,Teiche,Pond
Der,Assistent,Die,Assistenten,Assistant
Das,Design,Die,Designs,Design
Das,Angeln,,,Fishing
Der,Hang,Die,Hänge,Slope
Der,Graf,Die,Grafen,Earl
Der,Kommentar,Die,Kommentare,Comment
Der,Kellner,Die,Kellner,Waiter
Der,Lebensmittel,Die,Lebensmittel,Grocery
Die,Leiter,Die,Leitern,Ladder
Die,Kurve,Die,Kurven,Curve
Das,Volumen,Die,Volumina,Volume
Das,Risiko,Die,Risiken,Risk
Der,Albtraum,Die,Albträume,Nightmare
Die,Existenz,,,Existence
Die,Spur,Die,Spuren,Trace
Die,Krankheit,Die,Krankheiten,Disease
Die,Unterstützung,,,Support
Der,Zeuge,Die,Zeugen,Witness
Der,Bestand,Die,Bestände,Stock
Das,Gerät,Die,Geräte,Device
Die,Landschaft,Die,Landschaften,Landscape
Der,Feiertag,Die,Feiertage,Holiday
Das,Ass,Die,Asse,Ace
Das,Klavier,Die,Klaviere,Piano
Der,Darm,,,Gut
Das,Talent,Die,Talente,Talent
Die,Fantasie,,,Imagination
Das,Schwarz,,,Black
Der,Rohrkolben,Die,Rohrkolben,Reed
Der,Deckel,Die,Deckel,Lid
Der,Hinweis,Die,Hinweise,Hint
Der,Spaziergänger,Die,Spaziergänger,Walker
Das,Schaudern,,,Chill
Der,Prozess,Die,Prozesse,Trial
Das,Interview,Die,Interviews,Interview
Der,Ansatz,Die,Ansätze,Approach
Die,Narbe,Die,Narben,Scar
Die,Mode,,,Fashion
Der,Kanal,Die,Kanäle,Channel
Der,Fußabdruck,Die,Fußabdrücke,Footstep
Der,Pick-up,Die,Pick-ups,Pickup
Der,Habicht,Die,Habichte,Hawk
Der,Anhänger,Die,Anhänger,Trailer
Die,Statue,Die,Statuen,Statue
Die,Pille,Die,Pillen,Pill
Der,Käfer,Die,Käfer,Bug
Der,Eimer,Die,Eimer,Bucket
Der,Urlaub,Die,Urlaube,Vacation
Die,Art,Die,Arten,Species
Die,Säule,Die,Säulen,Column
Der,Schaden,,,Damage
Das,Instrument,Die,Instrumente,Instrument
Der,Hafen,Die,Häfen,Port
Die,Schicht,Die,Schichten,Layer
Der,Streifen,Die,Streifen,Strip
Der,Müll,,,Garbage
Die,Rippe,Die,Rippen,Rib
Das,Notizbuch,Die,Notizbücher,Notebook
Der,Mais,,,Corn
Das,Angebot,Die,Angebote,Offer
Die,Zeichnung,Die,Zeichnungen,Drawing
Die,Aussage,Die,Aussagen,Statement
Die,Intelligenz,,,Intelligence
Die,Entschuldigung,Die,Entschuldigungen,Excuse
Die,Landung,Die,Landungen,Landing
Das,Urheberrecht,,,Copyright
Die,Stange,Die,Stangen,Rod
Die,Fantasie,Die,Fantasien,Fantasy
Die,Neugierde,,,Curiosity
Das,Gewand,Die,Gewänder,Gown
Die,Grenze,Die,Grenzen,Border
Die,Poesie,,,Poetry
Die,Firma,Die,Firmen,Firm
Der,Anstieg,Die,Anstiege,Rise
Die,Handvoll,Die,Handvoll,Handful
Das,Porzellan,,,China
Der,Franzose,Die,Franzosen,French
Der,Durchschnitt,Die,Durchschnitte,Mean
Das,Reh,Die,Rehe,Deer
Der,Druck,Die,Drucke,Print
Die,Schiene,Die,Schienen,Rail
Der,Tarif,Die,Tarife,Rate
Der,Mut,,,Courage
Die,Ankunft,Die,Ankünfte,Arrival
Der,Wunsch,Die,Wünsche,Wish
Der,Bergrücken,Die,Bergrücken,Ridge
Der,Idiot,Die,Idioten,Idiot
Der,Stier,Die,Stiere,Bull
Der,Samen,Die,Samen,Seed
Der,Fortschritt,,,Progress
Das,Gefühl,Die,Gefühle,Feel
Die,kurze,,,Shorts
Der,Bürger,Die,Bürger,Citizen
Der,Müll,,,Trash
Der,Baumstamm,Die,Baumstämme,Log
Die,Geduld,,,Patience
Die,Fledermaus,Die,Fledermäuse,Bat
Der,Fußball,Die,Fußbälle,Football
Die,Routine,Die,Routinen,Routine
Die,Explosion,Die,Explosionen,Explosion
Der,Inhalt,Die,Inhalte,Content
Der,Wissenschaftler,Die,Wissenschaftler,Scientist
Das,Versagen,Die,Versagen,Failure
Die,Sünde,Die,Sünden,Sin
Der,Hintern,Die,Hintern,Butt
Die,Verwirrung,,,Confusion
Das,Verständnis,,,Understanding
Der,Handel,Die,Handel,Trade
Der,Kühlschrank,Die,Kühlschränke,Refrigerator
Der,Herr,Die,Herren,Mister
Die,Taschenlampe,Die,Taschenlampen,Flashlight
Das,Netz,Die,Netze,Net
Der,Matrose,Die,Matrosen,Sailor
Die,Einstellung,Die,Einstellungen,Attitude
Die,Schuld,,,Guilt
Das,Weinen,,,Crying
Der,Schluck,Die,Schlucke,Sip
Das,Reisen,Die,Reisen,Travel
Der,Keks,Die,Kekse,Cookie
Die,Flucht,Die,Fluchten,Escape
Die,Anweisung,Die,Anweisungen,Instruction
Der,Stoff,Die,Stoffe,Fabric
Der,Marmor,Die,Marmore,Marble
Der,Blick,Die,Blicke,Glimpse
Die,Dämmerung,,,Dusk
Die,Hütte,Die,Hütten,Cottage
Der,Affe,Die,Affen,Monkey
Das,Make-up,,,Makeup
Der,Arzt,Die,Ärzte,Doc
Die,Bluse,Die,Blusen,Blouse
Der,Rhythmus,Die,Rhythmen,Rhythm
Der,Dampf,,,Steam
Die,Phrase,Die,Phrasen,Phrase
Die,Mutter,Die,Muttern,Nut
Der,Bleistift,Die,Bleistifte,Pencil
Der,Koch,Die,Köche,Cook
Die,Flagge,Die,Flaggen,Flag
Der,Trainer,Die,Trainer,Coach
Der,Schwung,Die,Schwünge,Swing
Der,Lautsprecher,Die,Lautsprecher,Speaker
Der,Bolzen,Die,Bolzen,Bolt
Das,Fett,Die,Fette,Fat
Der,Teppich,Die,Teppiche,Rug
Das,Klopfen,,,Knock
Der,Zauber,Die,Zauber,Spell
Das,Taxi,Die,Taxis,Taxi
Die,Runde,Die,Runden,Round
Der,Strohhalm,Die,Strohhalme,Straw
Die,Luke,Die,Luken,Hatch
Die,Gabel,Die,Gabeln,Fork
Das,Böse,,,Evil
Die,Dienstmädchen,,,Maid
Der,Verwandte,Die,Verwandten,Relative
Die,Hexe,Die,Hexen,Witch
Der,Innenhof,Die,Innenhöfe,Courtyard
Die,Sensation,Die,Sensationen,Sensation
Die,Blase,Die,Blasen,Bubble
Der,Leser,Die,Leser,Reader
Die,Locke,Die,Locken,Curl
Der,Kuchen,Die,Kuchen,Pie
Das,Düsenflugzeug,Die,Düsenflugzeuge,Jet
Die,Schicht,Die,Schichten,Shift
Die,Union,Die,Unionen,Union
Der,Teenager,Die,Teenager,Teenager
Die,Ebene,Die,Ebenen,Plain
Die,Kellnerin,Die,Kellnerinnen,Waitress
Die,Antwort,Die,Antworten,Reply
Das,Gerücht,Die,Gerüchte,Rumor
Die,Schwerkraft,,,Gravity
Das,Schutz,Die,Schutz,Shelter
Das,Abenteuer,Die,Abenteuer,Adventure
Der,Löwe,Die,Löwen,Lion
Die,Wirbelsäule,Die,Wirbelsäulen,Spine
Das,Vertrauen,Die,Vertrauen,Confidence
Die,Tiefe,Die,Tiefen,Depth
Die,Reichweite,Die,Reichweiten,Reach
Der,Hammer,Die,Hämmer,Hammer
Die,Bibel,Die,Bibeln,Bible
Der,Vertrag,Die,Verträge,Contract
Die,Brieftasche,Die,Brieftaschen,Wallet
Der,Dschungel,Die,Dschungel,Jungle
Die,Fabrik,Die,Fabriken,Factory
Der,Indianer,Die,Indianer,Indian
Der,Balkon,Die,Balkone,Balcony
Der,Reis,,,Rice
Der,Knoten,Die,Knoten,Knot
Das,Kabel,Die,Kabel,Cord
Der,Kollege,Die,Kollegen,Colleague
Die,Absicht,Die,Absichten,Intention
Der,starren,,,Stare
Das,Motel,Die,Motels,Motel
Der,Anwalt,Die,Anwälte,Attorney
Der,Liebling,Die,Lieblinge,Darling
Die,Diskussion,Die,Diskussionen,Discussion
Die,Atmosphäre,Die,Atmosphären,Atmosphere
Die,Aufführung,Die,Aufführungen,Performance
Die,Spannung,Die,Spannungen,Tension
Der,Text,Die,Texte,Text
Der,Strand,Die,Strände,Strand
Der,Mittag,,,Noon
Die,Ader,Die,Adern,Vein
Der,Experte,Die,Experten,Expert
Die,Bande,Die,Banden,Gang
Der,Polizist,Die,Polizisten,Policeman
Der,Krebs,,,Cancer
Der,Fuchs,Die,Füchse,Fox
Die,Scheidung,Die,Scheidungen,Divorce
Der,Puls,Die,Pulse,Pulse
Die,Abwesenheit,,,Absence
Die,Gewalt,,,Violence
Der,Humor,,,Humor
Der,Hocker,Die,Hocker,Stool
Der,Kies,,,Gravel
Der,Schatz,Die,Schätze,Treasure
Die,Butter,,,Butter
Der,Schalter,Die,Schalter,Switch
Die,Zigarre,Die,Zigarren,Cigar
Die,Leinwand,Die,Leinwände,Canvas
Das,Glück,,,Happiness
Der,Führer,Die,Führer,Guide
Die,Stecknadel,Die,Stecknadeln,Pin
Der,Schauspieler,Die,Schauspieler,Actor
Das,Ganze,,,Whole
Die,Anordnung,Die,Anordnungen,Arrangement
Das,Braun,,,Brown
Der,Gastgeber,Die,Gastgeber,Host
Das,Band,Die,Bänder,Ribbon
Der,Schal,Die,Schals,Scarf
Die,Skala,Die,Skalen,Scale
Der,Beweis,Die,Beweise,Proof
Der,Pfeil,Die,Pfeile,Arrow
Die,Temperatur,Die,Temperaturen,Temperature
Die,Technologie,Die,Technologien,Technology
Die,Erlaubnis,Die,Erlaubnisse,Permission
Der,Standort,Die,Standorte,Location
Die,Klaue,Die,Klauen,Claw
Der,Cowboy,Die,Cowboys,Cowboy
Die,Agentur,Die,Agenturen,Agency
Der,Bau,,,Construction
Die,Jagd,,,Hunting
Das,Gemüse,Die,Gemüse,Vegetable
Die,Konservendose,Die,Konservendosen,Tin
Der,Hubschrauber,Die,Hubschrauber,Helicopter
Die,Falle,Die,Fallen,Trap
Der,Schlag,,,Pat
Die,Lücke,Die,Lücken,Gap
Das,Haustier,Die,Haustiere,Pet
Das,Bildung,,,Education
Die,Einkauf,Die,Einkäufe,Shopping
Der,Schuppen,Die,Schuppen,Shed
Die,Vereinbarung,Die,Vereinbarungen,Agreement
Der,Boden,,,Soil
Der,Herzog,Die,Herzog,Duke
Das,Schrotflinte,Die,Schrotflinten,Shotgun
Die,Idee,Die,Ideen,Notion
Das,Heck,,,Rear
Die,Zeremonie,Die,Zeremonien,Ceremony
Der,Löffel,Die,Löffel,Spoon
Die,Badewanne,Die,Badewannen,Tub
Der,Hinweis,Die,Hinweise,Clue
Die,Iris,Die,Irisse,Iris
Der,Vorfall,Die,Vorfälle,Incident
Der,Zusammenstoß,Die,Zusammenstöße,Crash
Das,Journal,Die,Journale,Journal
Der,Zugriff,,,Access
Das,Messing,,,Brass
Die,Mama,Die,Mamas,Mommy
Die,Sidebar,Die,Sidebars,Sidebar
Das,Schaf,Die,Schafe,Sheep
Der,Ingenieur,Die,Ingenieure,Engineer
Der,Rumpf,Die,Rümpfe,Hull
Der,Geruch,Die,Gerüche,Odor
Die,Termin,Die,Termine,Appointment
Die,Einladung,Die,Einladungen,Invitation
Das,Lumpen,Die,Lumpen,Rag
Das,Gute,,,Good
Der,Typ,Die,Typen,Dude
Die,Behandlung,Die,Behandlungen,Treatment
Die,Weisheit,,,Wisdom
Der,Preis,Die,Preise,Prize
Das,Element,Die,Elemente,Element
Der,Riese,Die,Riesen,Giant
Die,Serviette,Die,Servietten,Napkin
Die,Wäsche,,,Laundry
Die,Option,Die,Optionen,Option
Das,Regal,Die,Regale,Rack
Die,Anfrage,Die,Anfragen,Request
Das,Gefängnis,Die,Gefängnisse,Jail
Der,Opa,Die,Opas,Grandpa
Die,Ranch,Die,Ranches,Ranch
Der,Punkt,Die,Punkte,Dot
Das,Skript,Die,Skripte,Script
Das,Einkaufszentrum,Die,Einkaufszentren,Mall
Die,Furt,Die,Furten,Ford
Die,Übung,Die,Übungen,Exercise
Die,Witwe,Die,Witwen,Widow
Die,Krähe,Die,Krähen,Crow
Der,Faden,Die,Fäden,Thread
Der,Selbstmord,Die,Selbstmorde,Suicide
Das,Hinweis,Die,Hinweise,Notice
Der,Sonnenuntergang,Die,Sonnenuntergänge,Sunset
Die,Galerie,Die,Galerien,Gallery
Das,Gefäß,Die,Gefäße,Vessel
Der,Donner,,,Thunder
